変更前	変更後
東海	<placeName sameAs="#東海道">東海</placeName>
東山	<placeName sameAs="#東山道">東山</placeName>
北陸	<placeName sameAs="#北陸道">北陸</placeName>
山陰	<placeName sameAs="#山陰道">山陰</placeName>
山陽	<placeName sameAs="#山陽道">山陽</placeName>
南海	<placeName sameAs="#南海道">南海</placeName>
西海	<placeName sameAs="#西海道">西海</placeName>
山城	<placeName sameAs="#山城国">山城</placeName>
大和	<placeName sameAs="#大和国">大和</placeName>
河内	<placeName sameAs="#河内国">河内</placeName>
和泉	<placeName sameAs="#和泉国">和泉</placeName>
摂津	<placeName sameAs="#摂津国">摂津</placeName>
伊賀	<placeName sameAs="#伊賀国">伊賀</placeName>
伊勢	<placeName sameAs="#伊勢国">伊勢</placeName>
志摩	<placeName sameAs="#志摩国">志摩</placeName>
尾張	<placeName sameAs="#尾張国">尾張</placeName>
参河	<placeName sameAs="#参河国">参河</placeName>
遠江	<placeName sameAs="#遠江国">遠江</placeName>
駿河	<placeName sameAs="#駿河国">駿河</placeName>
伊豆	<placeName sameAs="#伊豆国">伊豆</placeName>
甲斐	<placeName sameAs="#甲斐国">甲斐</placeName>
相摸	<placeName sameAs="#相摸国">相摸</placeName>
武蔵	<placeName sameAs="#武蔵国">武蔵</placeName>
安房	<placeName sameAs="#安房国">安房</placeName>
上総	<placeName sameAs="#上総国">上総</placeName>
下総	<placeName sameAs="#下総国">下総</placeName>
常陸	<placeName sameAs="#常陸国">常陸</placeName>
近江	<placeName sameAs="#近江国">近江</placeName>
美濃	<placeName sameAs="#美濃国">美濃</placeName>
飛騨	<placeName sameAs="#飛騨国">飛騨</placeName>
信濃	<placeName sameAs="#信濃国">信濃</placeName>
上野	<placeName sameAs="#上野国">上野</placeName>
下野	<placeName sameAs="#下野国">下野</placeName>
陸奥	<placeName sameAs="#陸奥国">陸奥</placeName>
出羽	<placeName sameAs="#出羽国">出羽</placeName>
若狭	<placeName sameAs="#若狭国">若狭</placeName>
越前	<placeName sameAs="#越前国">越前</placeName>
加賀	<placeName sameAs="#加賀国">加賀</placeName>
能登	<placeName sameAs="#能登国">能登</placeName>
越中	<placeName sameAs="#越中国">越中</placeName>
越後	<placeName sameAs="#越後国">越後</placeName>
佐渡	<placeName sameAs="#佐渡国">佐渡</placeName>
丹波	<placeName sameAs="#丹波国">丹波</placeName>
丹後	<placeName sameAs="#丹後国">丹後</placeName>
但馬	<placeName sameAs="#但馬国">但馬</placeName>
因幡	<placeName sameAs="#因幡国">因幡</placeName>
伯耆	<placeName sameAs="#伯耆国">伯耆</placeName>
出雲	<placeName sameAs="#出雲国">出雲</placeName>
石見	<placeName sameAs="#石見国">石見</placeName>
隠伎	<placeName sameAs="#隠伎国">隠伎</placeName>
播磨	<placeName sameAs="#播磨国">播磨</placeName>
美作	<placeName sameAs="#美作国">美作</placeName>
備前	<placeName sameAs="#備前国">備前</placeName>
備中	<placeName sameAs="#備中国">備中</placeName>
備後	<placeName sameAs="#備後国">備後</placeName>
安芸	<placeName sameAs="#安芸国">安芸</placeName>
周防	<placeName sameAs="#周防国">周防</placeName>
長門	<placeName sameAs="#長門国">長門</placeName>
紀伊	<placeName sameAs="#紀伊国">紀伊</placeName>
淡路	<placeName sameAs="#淡路国">淡路</placeName>
阿波	<placeName sameAs="#阿波国">阿波</placeName>
讃岐	<placeName sameAs="#讃岐国">讃岐</placeName>
伊予	<placeName sameAs="#伊予国">伊予</placeName>
土佐	<placeName sameAs="#土佐国">土佐</placeName>
筑前	<placeName sameAs="#筑前国">筑前</placeName>
筑後	<placeName sameAs="#筑後国">筑後</placeName>
豊前	<placeName sameAs="#豊前国">豊前</placeName>
豊後	<placeName sameAs="#豊後国">豊後</placeName>
肥前	<placeName sameAs="#肥前国">肥前</placeName>
肥後	<placeName sameAs="#肥後国">肥後</placeName>
日向	<placeName sameAs="#日向国">日向</placeName>
大隅	<placeName sameAs="#大隅国">大隅</placeName>
薩摩	<placeName sameAs="#薩摩国">薩摩</placeName>
壱伎	<placeName sameAs="#壱伎島">壱伎</placeName>
対馬	<placeName sameAs="#対馬島">対馬</placeName>
山背	<placeName sameAs="#山城国">山背</placeName>
隠岐	<placeName sameAs="#隠伎国">隠岐</placeName>
伊与	<placeName sameAs="#伊予国">伊与</placeName>
土左	<placeName sameAs="#土佐国">土左</placeName>
壱岐	<placeName sameAs="#壱伎国">壱岐</placeName>